PEPSICO, INC.  131584302 -- BusinessCode: 311400 -- NY : PURCHASE
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $34,629,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
           = SUBTOTAL       $  7,656,963,000
           = OTHER          $              0
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/10/3/20221003163147NAL0007826899001.pdf
        Participants: 62,045  Average: $138,678
        Assets: $8,604,299,000
        Service Providers:
           - FIDELITY INSTI ASSET MGMT : $3,289,946   (Investment management fees paid directly by plan)
           - STATE STREET : $1,084,791   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MARATHON ASSET MANAGEMENT : $1,065,247   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $1,010,700   (Actuarial)
           - ALTRINSIC GLOBAL ADVISORS : $848,268   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $824,763   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MFS INSTITUTIONAL ADVISORS : $785,135   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JENNISON ASSOCIATES LLC : $612,733   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NISA : $580,390   (Investment management fees paid directly by plan)
           - JP MORGAN INVESTMENT MANAGEMENT : $478,032   (Investment management fees paid directly by plan)
           - CAMBRIDGE ADVISORY GROUP : $449,596   (Actuarial)
           - BLACKROCK INSTITUTIONAL ADVISORS : $357,333   (Investment management fees paid directly by plan)
           - DODGE AND COX : $345,713   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PEPSICO, INC. : $261,138  EMPLOYER (Plan Administrator)
           - ARIEL CAPITAL : $228,466   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WELLINGTON MANAGEMENT CO LLP : $216,168   (Investment management fees paid directly by plan)
           - VONTOBEL USA INC : $192,417   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PGIM INC : $178,061   (Investment management fees paid directly by plan)
           - WILLIAM BLAIR & CO : $177,224   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NORTHERN TRUST COMPANY : $165,504   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - DIMENSIONAL FUND ADVISORS : $126,189   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JAMESTOWN PREMIER PROPERTY FUND : $109,258   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PRUDENTIAL BANK & TRUST COMPANY : $105,170   (Investment management)
           - TOWERS WATSON INVESTMENT SERVICES : $96,950   (Consulting(pension))
           - HEITMAN : $93,431   (Investment management fees paid directly by plan)
           - RUSSELL IMPLEMENTATION SERVICES : $92,273   (Investment management | Securities brokerage commissions and fees)
           - HEALTH AND PRODUCTIVITY CONSULTING, : $83,247   (Consulting(general))
           - LOOMIS SAYLES : $74,877   (Investment management fees paid directly by plan)
           - JP MORGAN CHASE BANK : $72,098   (Trustee(bank, trust company, or similar))
           - KPMG, LLP : $60,135   (Accounting(including auditing))
           - ACOSTA & RAMIREZ : $30,655   (Legal)
           - KILPATRICK STOCKTON : $30,301   (Legal)
           - BANCO POPULAR : $15,907   (Recordkeeper | Trustee(bank, trust company, or similar))
           - JOHN HANCOCK MUTUAL LIFE INS CO : $15,894   (Insurance services)
           - METROPOLITAN LIFE INSURANCE : $9,957   (Insurance services)
           = TOTAL FEES: $14,167,967 (or $228 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $8,556,354,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $47,945,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
           = SUBTOTAL       $  8,604,299,000
           = OTHER          $              0
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2021/10/14/20211014082926NAL0020844689001.pdf
        Participants: 46,575  Average: $144,459
        Assets: $6,728,191,000
        Service Providers:
           - THOMPSON COBURN LLP : $19,290   (Legal)
           - ACOSTA & RAMIREZ : $15,912   (Legal)
           - JOHN HANCOCK MUTUAL LIFE INS CO : $14,418   (Insurance services)
           - PRICE WATERHOUSECOOPERS LLP : $9,195   (Accounting(including auditing))
           - BANCO POPULAR : $6,607   (Recordkeeper | Trustee(bank, trust company, or similar))
           - FIDELITY INSTI ASSET MGMT : $2,212,849   (Investment management fees paid directly by plan)
           - FIDELITY INSTITUTIONAL OPERATIONS : $1,102,967   (Plan Administrator)
           - MARATHON ASSET MANAGEMENT : $884,715   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MFS INSTITUTIONAL ADVISORS : $850,343   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - ALTRINSIC GLOBAL ADVISORS : $726,818   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $642,032   (Actuarial)
           - STATE STREET : $536,707   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JENNISON ASSOCIATES LLC : $535,895   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NORTHERN TRUST COMPANY : $531,582   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - WILLIAM BLAIR & CO : $523,570   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NISA : $500,676   (Investment management fees paid directly by plan)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $456,504   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - CAMBRIDGE ADVISORY GROUP : $403,431   (Actuarial)
           - BLACKROCK INSTITUTIONAL ADVISORS : $376,583   (Investment management fees paid directly by plan)
           - JP MORGAN CHASE BANK : $304,766   (Investment management fees paid directly by plan)
           - DODGE AND COX : $282,542   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WELLINGTON MANAGEMENT CO LLP : $208,031   (Investment management fees paid directly by plan)
           - PGIM INC : $184,438   (Investment management fees paid directly by plan)
           - VONTOBEL USA INC : $181,580   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PEPSICO, INC. : $178,493  EMPLOYER (Plan Administrator)
           - ARIEL CAPITAL : $160,870   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - TOWERS WATSON INVESTMENT SERVICES : $137,510   (Consulting(pension))
           - HEITMAN : $136,444   (Investment management fees paid directly by plan)
           - DIMENSIONAL FUND ADVISORS : $132,830   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JAMESTOWN PREMIER PROPERTY FUND : $107,986   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PRUDENTIAL BANK & TRUST COMPANY : $98,154   (Investment management)
           - RUSSELL IMPLEMENTATION SERVICES : $97,366   (Investment management | Securities brokerage commissions and fees)
           - LOOMIS SAYLES : $93,455   (Investment management fees paid directly by plan)
           - HEALTH AND PRODUCTIVITY CONSULTING, : $80,686   (Consulting(general))
           - CAPITAL GUARDIAN TRUST COMPANY : $72,819   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - KPMG, LLP : $53,511   (Accounting(including auditing))
           - KILPATRICK STOCKTON : $30,562   (Legal)
           - METROPOLITAN LIFE INSURANCE : $27,214   (Insurance services)
           = TOTAL FEES: $12,919,351 (or $277 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $6,711,656,000
                    + BLACKROCK EAFE EQUITY INDEX  C
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                        + MARATHON-LONDON INTL FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $16,535,000
                    + BLACKROCK EAFE EQUITY INDEX  C
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                        + MARATHON-LONDON INTL FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
           = SUBTOTAL       $  6,728,191,000
           = OTHER          $              0
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/14/20201014210612NAL0004216579001.pdf
        Participants: 47,460  Average: $127,582
        Assets: $6,055,050,000
        Service Providers:
           - FIDELITY INSTITUTIONAL OPERATIONS : $3,204,263   (Plan Administrator)
           - MARATHON ASSET MANAGEMENT : $1,240,404   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NISA : $940,356   (Investment management fees paid directly by plan)
           - STATE STREET : $854,455   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $711,795   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $684,068   (Actuarial)
           - JENNISON ASSOCIATES : $679,364   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - DODGE AND COX : $613,986   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MFS INSTITUTIONAL ADVISORS : $590,146   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WILLIAM BLAIR & CO : $545,894   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JP MORGAN CHASE BANK : $543,837   (Investment management fees paid directly by plan)
           - CAMBRIDGE ADVISORY GROUP : $484,080   (Actuarial)
           - PEPSICO, INC. : $471,209  EMPLOYER (Plan Administrator)
           - RUSSELL INVESTMENTS : $423,645   (Investment management fees paid directly by plan)
           - ALTRINSIC GLOBAL ADVISORS : $404,985   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - VONTOBEL USA INC : $306,825   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - BLACKROCK INSTITUTIONAL ADVISORS : $249,811   (Investment management fees paid directly by plan)
           - WELLINGTON MANAGEMENT CO LLP : $239,447   (Investment management fees paid directly by plan)
           - DIMENSIONAL FUND ADVISORS : $222,066   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PGIM INC : $217,712   (Investment management fees paid directly by plan)
           - HEITMAN : $203,116   (Investment management fees paid directly by plan)
           - ARIEL CAPITAL : $189,014   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NORTHERN TRUST COMPANY : $182,892   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - RUSSELL IMPLEMENTATION SERVICES : $160,041   (Investment management | Securities brokerage commissions and fees)
           - LOOMIS SAYLES : $148,005   (Investment management fees paid directly by plan)
           - JAMESTOWN PREMIER PROPERTY FUND : $142,209   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - CAPITAL GUARDIAN TRUST COMPANY : $134,077   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - TOWERS WATSON INVESTMENT SERVICES : $133,787   (Consulting(pension))
           - PRUDENTIAL BANK & TRUST COMPANY : $128,156   (Investment management)
           - HEALTH AND PRODUCTIVITY CONSULTING, : $105,413   (Consulting(general))
           - WILLIS TOWERS WATSON : $93,335   (Actuarial)
           - PRICE WATERHOUSECOOPERS LLP : $82,376   (Accounting(including auditing))
           - KPMG, LLP : $69,909   (Accounting(including auditing))
           - METROPOLITAN LIFE INSURANCE : $40,651   (Insurance services)
           - JOHN HANCOCK MUTUAL LIFE INS CO : $18,191   (Insurance services)
           - KILPATRICK STOCKTON : $17,621   (Legal)
           - ACOSTA & RAMIREZ : $15,919   (Legal)
           - THOMPSON COBURN LLP : $12,164   (Legal)
           - COMMITTEE ON INVESTMENT OF EMPLOYEE : $5,534   (Consulting(general))
           - RIVER AND MERCANTILE LLC : $5,124   (Consulting(general))
           = TOTAL FEES: $15,515,882 (or $326 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $6,039,823,000
                    + BLACKROCK EAFE EQUITY INDEX  C
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY GROWTH INDEX  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 INDEX FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                        + MARATHON-LONDON INTL FUND  C
                        + WA FLTG RATE HI INCOME FD  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $15,227,000
                    + BLACKROCK EAFE EQUITY INDEX  C
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY GROWTH INDEX  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 INDEX FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                        + MARATHON-LONDON INTL FUND  C
                        + WA FLTG RATE HI INCOME FD  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
