SSM HEALTH CARE  466029223 -- BusinessCode: 622000 -- MO : ST LOUIS
  [401(k)] SSM HEALTH 401(K) PLAN [466029223-005]
    2023  [codes: 2E2G2J2K2R2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/10/15/20241015094349NAL0027975601001.pdf
        Participants: 6,013  Average: $210,177
        Assets: $1,263,795,637
        Contributions - employee: $   5,579 per participant
                      - employer: $   3,892 per participant
        Loans                   : $     445 per participant
        Service Providers:
           - FIDELITY INVESTMENTS INSTITUTIONAL : $69,985  RECORDKEEPER (Participant loan processing | Sub - transfer agency fees | Recordkeeping fees | Account maintenance fees | Securities brokerage commissions and fees)
           - STRATEGIC ADVISORS, INC. : $18,873  ADVISOR (Investment advisory(plan))
           - SAGEVIEW ADVISORY GROUP, LLC : $17,727  INVESTMENT ADVISOR (Investment advisory(plan))
           = TOTAL FEES: $106,585 (or $17 per partipant)
        Service Fees:
           - FIDELITY INVESTMENTS INSTITUTIONAL : INVESCO GOLD & SPEC MINERALS A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA US SMALL CAP VALUE PRTF INSTL   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA US LARGE CAP VALUE PRTF INSTL   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA REAL ESTATE SEC PRTF INSTL   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA INVESTMENT GRADE PORTFOLIO INS   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DELAWARE SMALL CAP CORE INSTL   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DWS RREEF REAL ASSETS FUND INSTL C   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA EMERGING MARKETS SUSTAIN CORE   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA SHORT DURATION REAL RETURN INS   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA INTERNATIONAL VALUE PRTF INSTL   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA INTERNATIONAL VALUE PORT III   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DOUBLELINE TOTAL RETURN BOND FD CL   $0 | 0.06%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DOUBLELINE TOTAL RT BOND FD CL N   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DOUBLELINE CORE FIXED INCOME FD CL   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DOUBLELINE LOW DURATION BOND CL I   $0 | 0.06%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : EATON VANCE FLOATINGRATE CLASS I   $0 | $16.00)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PARAMETRIC COMMODITYSTRATEGIC CL A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FPA NEW INCOME FUND   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FMI COMMON STOCK FUND INSTITUTIONA   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FEDERATED HERMES INSTL HIGH YLD BD   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FEDERATED HERMES KAUFMANN SM CAP I   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : ALPS SMITH TOTAL RETURN BOND CL I   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : ALPS/SMITH TOTAL RETURN BOND INV   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FIRST EAGLE GOLD CLASS A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FIRST EAGLE GLOBAL CLASS A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DF DENT MIDCAP GROWTH FUND INVESTO   $0 | 0.12%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FRANKLIN DYNATECH FUND A   $0 | $16.00)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FRANKLIN UTILITIES CL A   $0 | $16.00)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FRANKLIN EQUITY INC FUND ADVISOR C   $0 | $16.00)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FRANKLIN CONVERTIBLESECURITIES ADV   $0 | $16.00)
           - FIDELITY INVESTMENTS INSTITUTIONAL : GMO QUALITY FUND INSTL   $0 | 0.08%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : GOLDMAN SACHS GQG PART INTERNTL OP   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : GUGGENHEIM RISK MGD REAL ESTATE IN   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : HARDING LOEVNER INTL EQUITY PORT I   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : HARDING LOEVNER INST EMERGING MRKT   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : TOWLE DEEP VALUE FUND   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : WCM FOCUSED INTL GROWTH FUND INSTL   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : WCM FOCUSED EMERGING MARKETS FUND   $0 | 0.12%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JANUS HENDERSON GL LIFE SCIENCES T   $0 | 0.35%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JANUS HENDERSON ENTERPRISE I   $0 | $15.00)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPMORGAN LARGE CAP GROWTH CLASS A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : LAZARD GLOBAL LISTEDINFRASTRUCTURE   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : CLEARBRIDGE SELECT FUND CL A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : LOOMIS SAYLES INVST GRADE BOND CL   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : LORD ABBETT RESEARCHSMALL CAP CLAS   $0 | 0.45%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : LORD ABBETT SHORT DURATION INCOME   $0 | 0.37%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MFS INTERNATIONAL DIVERSIFICATION   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : HOOD RIVER SMALL CAP GROWTH FUND I   $0 | 0.12%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MERIDIAN SMALL CAP GROWTH FD INVES   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MORGAN STANLEY DISCOVERY PORT CL A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MORGAN STANLEY GROWTH PORTFOLIO A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MORGAN STA INST INC.INCEPTION PORT   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MORGAN STANLEY INSIGHT A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MORGAN STANLEY INTL ADVANTAGE CL I   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : RATIONAL SPECIAL SITUATIONS INC A   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : NEUBERGER BERMAN LARGE CAP VALUE I   $0 | $16.00)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PFG BNY MELLON DIVERSIFIER STRAT R   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PFG ACTIVE CORE BOND STRATEGY FUND   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : RONDURE NEW WORLD INVESTOR   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PFG FIDELITY INST AMCORE PLUS BD S   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PFG TACTICAL INCOME STRATEGY CL R   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PFG AMERICAN FDS CONS INC STRAT CL   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : NUVEEN HIGH YIELD MUNI CLASS A   $0 | 0.31%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PIMCO LONG TERM US GOV'T CLASS A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PARNASSUS VALUE EQUITY INVESTOR   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PIMCO INCOME FUND CL A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PIONEER GLOBAL SUSTAINABLE EQUITY   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : T ROWE PRICE COMM & TECHNOLOGY INV   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : T ROWE PRICE HEALTH SCIENCES   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PRINCIPAL MID CAP VALUE I INSTL   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PRINCIPAL CAPITAL APPRECIATION INS   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AKRE FOCUS FUND RETAIL   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : THE OSTERWEIS STRATEGIC INCOME FD   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : ULTRA SHORT SMALL CAP PRO FDS INVS   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : BITCOIN STRATEGY FD INVESTOR   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PGIM FLOATING RATE INCOME CL Z   $0 | 0.10%)
        Available Investments:
           - ALTA TRUST COMPANY
                 : EAGLE MID CAP GR F  [830524193-001] C  $108,102,119
           - FIAM TRUST COMPANY
                 : FIAM CORE PLUS CL J  [204659714-052] C  $57,924,422
           - FIDELITY MANAGEMENT TRUST COMPANY
                 : FID BLUE CHP GR CP C  [043022712-142] C  $121,817,255
           - GREAT GRAY TRUST COMPANY
                 : CB SMALL CAP GROWTH  [384065336-434] C  $334,052
                 : PIMCO RAE US SM CLS  [384139838-617] C  $3,183,724
           - MFS HERITAGE TRUST COMPANY
                 : MFS INTL GROWTH 4  [571187281-001] C  $44,362,344
           - RELIANCE TRUST COMPANY
                 : DRIEHAUS EM GRTH C  [376553761-001] C  $2,438,102
           - SEI TRUST COMPANY
                 : C&S US REALTY S  [463411346-064] C  $1,630,274
           - STATE STREET BANK & TRUST COMPANY
                 : SS GACEQ EXUS IDX II  [900337987-444] C  $18,055,658
                 : SS US BOND INDX XIV  [900337987-477] C  $33,038,888
           - STATE STREET GLOBAL ADVISORS TRUST
                 : SS RSL SMMDCP IDX II  [326528132-019] C  $4,737,577
                 : SS S&P 500 INDEX II  [040025081-078] C  $179,513,056
           - VANGUARD COLLECTIVE INVESTMENT TRUST FUNDS
                 : VANGUARD TARGET RETIRE 2030 TRUST  [476938065-001] C  $75,926,571
                 : VANGUARD TARGET RETIRE TRUST  [476930815-001] C  $17,394,212
                 : VANGUARD TARGET RETIRE TRUST 2020  [476935530-001] C  $34,754,256
                 : VANGUARD TARGET RETIRE TRUST 2025  [476938034-001] C  $89,285,018
                 : VANGUARD TARGET RETIRE TRUST 2035  [476941311-001] C  $74,398,374
                 : VANGUARD TARGET RETIRE TRUST 2040  [476941351-001] C  $65,759,208
                 : VANGUARD TARGET RETIRE TRUST 2045  [476944355-001] C  $52,077,755
                 : VANGUARD TARGET RETIRE TRUST 2050  [476944390-001] C  $41,661,798
                 : VANGUARD TARGET RETIRE TRUST 2055  [476948719-001] C  $20,960,401
                 : VANGUARD TARGET RETIRE TRUST 2060  [476948754-001] C  $6,482,372
                 : VANGUARD TARGET RETIRE TRUST 2065  [826200492-001] C  $1,627,373
                 : VANGUARD TARGET RETIRE TRUST 2070  [826200489-001] C  $184,995
           = SUBTOTAL       $  1,055,649,804
           = OTHER          $    208,145,833
 -- MO : SAINT LOUIS
 -- MO : ST. LOUIS
