SPEE-DEE PACKAGING MACHINERY, INC.  391372099 -- BusinessCode: 541990 -- WI : STURTEVANT
  [401(k)] SPEE-DEE/SSE 401(K) PROFIT SHARING PLAN [391372099-001]
    2019  [codes: 2E2J2K2F2G2R3D2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/5/22/20200522155658NAL0004126019001.pdf
                 : MFS MID CAP GROWTH FUND  [010233346-000] P  $90,043
                 : MFS UTILITIES FUND  [010233346-000] P  $0
                 : MID CAP INDEX FUND  [010233346-000] P  $31,685
                 : MID CAP STOCK FUND  [010233346-000] P  $4,804
                 : MID VALUE FUND  [010233346-000] P  $0
                 : MONEY MARKET FUND  [010233346-000] P  $0
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $0
                 : NEW OPPORTUNITIES FUND  [010233346-000] P  $0
                 : NEW PERSPECTIVE FUND  [010233346-000] P  $137,414
                 : NEW WORLD FUND  [010233346-000] P  $13,463
                 : PIMCO ALL ASSET  [010233346-000] P  $0
                 : PIMCO GLOBAL BOND OPPS FUND  [010233346-000] P  $35,398
                 : PIMCO INCOME FUND  [010233346-000] P  $18,041
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $25,062
                 : RELIANCE METLIFE STABLE VALUE  [010233346-000] P  $35,213
                 : ROYCE OPPORTUNITY  [010233346-000] P  $0
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $0
                 : SMALL CAP INDEX FUND  [010233346-000] P  $63,374
                 : SMALL CAP VALUE FUND  [010233346-000] P  $0
                 : SMALLCAP WORLD FUND  [010233346-000] P  $38,790
                 : STRATEGIC INCOME OPP FUND  [010233346-000] P  $0
                 : T. ROWE PRICE CAP APPRECIATION  [010233346-000] P  $417,652
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $3,928
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $46,907
                 : T. ROWE PRICE SHORT TERM BOND  [010233346-000] P  $0
                 : T. ROWE PRICE SML CAP VAL  [010233346-000] P  $0
                 : TEMPLETON GLOBAL BOND FUND  [010233346-000] P  $14,022
                 : THE GROWTH FUND OF AMERICA  [010233346-000] P  $22,964
                 : TOTAL BOND MARKET FUND  [010233346-000] P  $0
                 : U.S. HIGH YIELD BOND FUND  [010233346-000] P  $0
                 : VANGUARD MID-CAP GROWTH ETF  [010233346-000] P  $0
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $0
                 : WISDOMTREE MIDCAP DIVIDEND ETF  [010233346-000] P  $37,959
           = SUBTOTAL       $      3,907,573
           = OTHER          $     -3,907,573
