PIERCE ATWOOD LLP | ME | PORTLAND | 010190452
FIDUCIARY TRUST COMPANY | MA | BOSTON | 041309690
GOODWIN PROCTER LLP | MA | BOSTON | 041378465
WILMER CUTLER PICKERING HALE AND DORR LLP | MA | BOSTON | 041409810
HEMENWAY & BARNES LLP | MA | BOSTON | 041433295
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY | MA | SPRINGFIELD | 041590850
MONARCH LIFE INSURANCE COMPANY | MA | HOLYOKE | 041630650
QUINCY MUTUAL FIRE INSURANCE COMPANY | MA | QUINCY | 041752900
SAVINGS BANKS EMPLOYEES RETIREMENT ASSOCIATION | MA | WOBURN | 042004337
MASSACHUSETTS INSTITUTE OF TECHNOLOGY | MA | CAMBRIDGE | 042103594
RIEMER & BRAUNSTEIN LLP | MA | BOSTON | 042126351
FOLEY HOAG LLP | MA | BOSTON | 042150535
RUBIN AND RUDMAN LLP | MA | BOSTON | 042202844
MIRICK, O'CONNELL, DEMALLIE & LOUGEE, LLP | MA | WORCESTER | 042203347
SIMPSON GUMPERTZ & HEGER INC. | MA | WALTHAM | 042256923
BURNS & LEVINSON LLP | MA | BOSTON | 042265163
CABOT CORPORATION | MA | BILLERICA | 042271897
BOWDITCH AND DEWEY, LLP | MA | WORCESTER | 042297674
ANALOG DEVICES, INC. | MA | WILMINGTON | 042348234
TUFTS MEDICAL CENTER, INC. | MA | BOSTON | 042374071
SULLIVAN & WORCESTER LLP | MA | BOSTON | 042387531
SPRINGFIELD ANESTHESIA SERVICE, INC. | MA | SPRINGFIELD | 042390028
STATE STREET CORPORATION | MA | BOSTON | 042456637
MASSACHUSETTS PROPERTY INSURANCE UNDERWRITING ASSOCIATION | MA | BOSTON | 042503445
KLA CORPORATION | CA | MILPITAS | 042564110
WOLF, GREENFIELD & SACKS, P.C. | MA | BOSTON | 042613631
INTERSYSTEMS CORPORATION | MA | CAMBRIDGE | 042639026
GRANTHAM, MAYO, VAN OTTERLOO & CO. LLC | MA | BOSTON | 042691242
BRIGHTSPHERE INVESTMENT GROUP | MA | BOSTON | 042714625
MINTZ, LEVIN, COHN, FERRIS, GLOVSKY AND POPEO, P.C. | MA | BOSTON | 042718459
GOULSTON & STORRS PC | MA | BOSTON | 042738098
MASSACHUSETTS FINANCIAL SERVICES COMPANY | MA | BOSTON | 042747644
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 042767481
OFFICEMAX INC., A WHOLLY OWNED SUBSIDIARY OF THE ODP CORPORATION | FL | BOCA RATON | 042779424
CAMPBELL CONROY & O'NEIL PROFESSIONAL CORPORATION | MA | BOSTON | 042781045
PUTNAM FIDUCIARY TRUST COMPANY, LLC | MA | BOSTON | 042884233
BERKSHIRE PARTNERS LLC | MA | BOSTON | 042911958
ACADIAN ASSET MANAGEMENT LLC | MA | BOSTON | 042929221
INCOME RESEARCH & MANAGEMENT | MA | BOSTON | 042955404
SIDLEY AUSTIN LLP | IL | CHICAGO | 043004856
CABLE TELEVISION LABORATORIES, INC. | CO | LOUISVILLE | 043012897
FIDELITY MANAGEMENT TRUST COMPANY | MA | BOSTON | 043022712
BARLETTA ENGINEERING CORPORATION | MA | CANTON | 043034210
TUFTS MEDICAL CENTER PHYSICIANS ORGANIZATION | MA | BOSTON | 043044706
HAMILTON, BROOK, SMITH & REYNOLDS, P.C. | MA | CONCORD | 043052260
EATON VANCE MANAGEMENT | MA | BOSTON | 043101341
KOKUSAI SEMICONDUCTOR EQUIPMENT CORP | CA | SAN JOSE | 043144511
PUTNAM FIDUCIARY TRUST COMPANY, LLC | MA | BOSTON | 043159710
COMPASS MEDICAL, P.C. | MA | EAST BRIDGEWATER | 043171403
PANAGORA ASSET MANAGEMENT, INC. | MA | BOSTON | 043183235
SPECTRUM EQUITY MANAGEMENT, INC. | CA | SAN FRANCISCO | 043190022
XEROX CORPORATION | CT | NORWALK | 043192419
MORGAN STANLEY INVESTMENT MANAGEMENT | MO | KANSAS CITY | 043196694
LOOMIS SAYLES AND COMPANY, LP | MA | BOSTON | 043200030
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 043202152
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043204898
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043205013
3M COMPANY | MN | ST. PAUL | 043205742
TA ASSOCIATES MANAGEMENT L.P. | MA | BOSTON | 043205796
AFFILIATED MANAGERS GROUP, INC. | MA | PRIDES CROSSING | 043218510
EVERSOURCE ENERGY SERVICE COMPANY | CT | HARTFORD | 043220614
MORGAN STANLEY INVESTMENT MANAGEMENT | MO | KANSAS CITY | 043222247
PENNEY OPCO, LLC | TX | PLANO | 043227926
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043236310
MARATHON ASSET MANAGEMENT LIMITED | IL | CHICAGO | 043237387
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043238615
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 043251040
FISH & RICHARDSON P.C. | MN | MINNEAPOLIS | 043254521
GENERAL MOTORS LLC | MI | DETROIT | 043259743
PHYSICIANS ORGANIZATION AT CHILDRENS HOSPITAL INC | MA | BOSTON | 043266103
OAKTREE CAPITAL MANAGEMENT, L.P. | CA | LOS ANGELES | 043274683
HARRIS ASSOCIATES L.P. | IL | CHICAGO | 043276558
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043294491
MASS GENERAL BRIGHAM INCORPORATED | MA | SOMERVILLE | 043294527
LOCKHEED MARTIN CORPORATION | MD | BETHESDA | 043321934
HALLMARK CARDS, INC. MASTER TRUST, STATE STREET BANK & TRUST, TRUSTEE | MO | KANSAS CITY | 043328262
YELLOW CORPORATION | KS | OVERLAND PARK | 043338185
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339519
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339520
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339530
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339537
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339539
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339540
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339546
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339550
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339554
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339562
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339563
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339565
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339574
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339576
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339578
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339585
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339590
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339598
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339604
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339609
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043339611
TA REALTY LLC | MA | BOSTON | 043341880
BRACEBRIDGE CAPITAL, LLC | MA | BOSTON | 043344637
RHUMBLINE ADVISERS CORP. | MO | KANSAS CITY | 043345692
HARBOURVEST PARTNERS V - PARTNERSHIP FUND L.P. | MA | BOSTON | 043349964
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043359199
COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC | MO | KANSAS CITY | 043369476
ISO NEW ENGLAND INC. | MA | HOLYOKE | 043372500
JANUS HENDERSON INVESTORS US, LLC | MA | BOSTON | 043377381
CARTER LEDYARD & MILBURN LLP | NY | NEW YORK | 043393540
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043393591
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043393595
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 043395941
NATIXIS INVESTMENT MANAGERS, LLC | MA | BOSTON | 043398261
THE BAUPOST GROUP, L.L.C. | MA | BOSTON | 043402144
CONAGRA BRANDS, INC. | IL | CHICAGO | 043407425
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043407612
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043407623
RELIANCE STEEL & ALUMINUM CO. | AZ | SCOTTSDALE | 043410427
BELL ASSET MANAGEMENT LTD. | MO | KANSAS CITY | 043412674
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043419938
HAWTHORN MEDICAL ASSOCIATES, LLC | MA | NORTH DARTMOUTH | 043436165
LYONDELL CHEMICAL CO, EQUISTAR CHEMICALS LP, & HOUSTON REFINING LP | TX | HOUSTON | 043452906
UNILEVER UNITED STATES, INC. | NJ | ENGLEWOOD CLIFFS | 043458687
SANOFI-AVENTIS US LLC | NJ | BRIDGEWATER | 043462010
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043466790
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043466793
ARROWSTREET CAPITAL, LIMITED PARTNERSHIP | MA | BOSTON | 043472863
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043478150
WILMINGTON TRUST, NATIONAL ASSOCIATION | DE | WILMINGTON | 043478313
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043479841
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043479842
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043479843
MASS GENERAL BRIGHAM INCORPORATED | MA | SOMERVILLE | 043480219
PEPSICO, INC. | NY | PURCHASE | 043483429
IHEART COMMUNICATIONS, INC. | TX | DALLAS | 043491433
VESUVIUS USA CORPORATION | IL | CHAMPAIGN | 043496063
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 043497364
AKZO NOBEL, INC. | TN | NASHVILLE | 043500520
WESTERN ASSET MANAGEMENT COMPANY, LLC | CA | PASADENA | 043500652
BEACON CAPITAL PARTNERS, LLC | MA | BOSTON | 043506116
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043508891
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043508893
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043508899
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 043509880
MUELLER GROUP, LLC | GA | ATLANTA | 043521107
TRIUMPH AEROSTRUCTURES, LLC. | PA | RADNOR | 043526344
METALTEK INTERNATIONAL, INC. | WI | WAUKESHA | 043526658
AVAYA INC. | NJ | MORRISTOWN | 043528515
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 043531764
FIDELITY WORKPLACE SERVICES LLC | MA | BOSTON | 043532603
ADAGE CAPITAL MANAGEMENT LP | MA | BOSTON | 043559355
CINCINNATI BELL INC. | OH | CINCINNATI | 043561428
TRUSTEES OF THE UNIVERSITY OF PA | PA | PHILADELPHIA | 043574136
GORTONS INC. | MA | GLOUCESTER | 043575531
AMERICAN SUGAR REFINING, INC. | NY | YONKERS | 043580488
WEC ENERGY GROUP, INC. | WI | MILWAUKEE | 043603774
ROLLS ROYCE CORPORATION | VA | RESTON | 043603782
WINSTON & STRAWN LLP | IL | CHICAGO | 043603790
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 043604101
MAXIM GROUP LLC | NY | WOODBURY | 043640096
INVESCO TRUST COMPANY | GA | ATLANTA | 043647144
HARBOURVEST PARTNERS VII-BUYOUT HOLDING FUND L.P. | MA | BOSTON | 043658334
CRAIG-HALLUM CAPITAL GROUP LLC | MN | MINNEAPOLIS | 043672881
BRIDGEWATER EQUITY FUND, LLC | CT | WESTPORT | 043689521
GRAPHIC PACKAGING INTERNATIONAL, LLC | GA | ATLANTA | 043782990
BJ'S WHOLESALE CLUB, INC. | MA | MARLBOROUGH | 043785526
CARDINAL HEALTH, INC. | OH | DUBLIN | 043793339
THE TIMKEN COMPANY | OH | NORTH CANTON | 043804445
KENNAMETAL INC. | SC | FT. MILL | 043831396
METALTEK INTERNATIONAL, INC. | WI | WAUKESHA | 043838480
YELLOW CORPORATION | KS | OVERLAND PARK | 043852884
JEOL USA, INC. | MA | PEABODY | 046058420
CARGILL, INCORPORATED | MN | MINNEAPOLIS | 046529678
BRANDYWINE GLOBAL INVESTMENT MGMT, LLC | PA | PHILADELPHIA | 046622861
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625056
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625057
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625058
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625059
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625060
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625061
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625062
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625063
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625064
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625065
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625066
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625067
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625068
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625069
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625070
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625071
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625072
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625073
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625074
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625075
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625076
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046625099
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046657583
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046657586
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046657591
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046657593
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046657595
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046657596
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046657600
MERCER TRUST COMPANY LLC | MA | BOSTON | 046691601
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046721653
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046721657
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736744
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736745
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736746
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736747
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736753
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736754
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736755
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736757
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736758
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736759
GENERAL MILLS, INC. | MN | MINNEAPOLIS | 046736853
HONEYWELL INTERNATIONAL INC | NC | CHARLOTTE | 046736894
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736968
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046736971
RHUMBLINE ADVISERS CORP. | MO | KANSAS CITY | 046752198
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046763892
CALIFORNIA CASUALTY MANAGEMENT COMPANY | CA | SAN MATEO | 046766679
DELTA AIR LINES, INC | GA | ATLANTA | 046766712
CNH INDUSTRIAL U.S.A. RETIREMENT BOARD | WI | RACINE | 046766755
JOHNS MANVILLE CORPORATION | CO | DENVER | 046767391
MERCK & CO., INC. | NJ | RAHWAY | 046767405
SULLIVAN & CROMWELL LLP | NY | NEW YORK | 046767501
DTE ENERGY COMPANY | MI | DETROIT | 046767525
BRISTOL-MYERS SQUIBB COMPANY | NJ | PRINCETON | 046767867
HARLEY-DAVIDSON MOTOR COMPANY GROUP, LLC | WI | MILWAUKEE | 046775071
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046778034
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046778040
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046778048
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046778050
TRANSAMERICA RETIREMENT SOLUTIONS CORPORATION | IA | CEDAR RAPIDS | 046784256
RHUMBLINE ADVISERS CORP. | MO | KANSAS CITY | 046793528
ULLICO INVESTMENT ADVISORS INC | MD | SILVER SPRING | 046799863
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046809839
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046809840
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046809841
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046809842
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046809843
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046809844
CITGO PETROLEUM CORPORATION | TX | HOUSTON | 046814720
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046818878
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046826003
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046832069
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046879408
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046880538
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046880542
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046882875
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046897328
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046903137
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 046913417
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046922230
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046927788
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046927789
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046928341
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046928347
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046928352
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046928353
RHUMBLINE ADVISERS CORP. | MO | KANSAS CITY | 046930563
AVANGRID MANAGEMENT COMPANY LLC | CT | ORANGE | 046931375
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 046932240
CHEVRON PHILLIPS CHEMICAL COMPANY LP | TX | THE WOODLANDS | 046934777
RHUMBLINE ADVISERS CORP. | MO | KANSAS CITY | 046941665
ZIMMER BIOMET HOLDINGS, INC. | IN | WARSAW | 046947827
ALLIANCEBERNSTEIN LP | TN | NASHVILLE | 046948485
MORGAN STANLEY INVESTMENT MANAGEMENT | MO | KANSAS CITY | 046956298
MORGAN STANLEY INVESTMENT MANAGEMENT | MO | KANSAS CITY | 046956300
CAUSEWAY CAPITAL MANAGEMENT LLC | MO | KANSAS CITY | 046987758
ALTRIA CLIENT SERVICES LLC | VA | RICHMOND | 047008374
MERCER TRUST COMPANY LLC | MA | BOSTON | 047014330
HINCKLEY, ALLEN & SNYDER LLP | RI | PROVIDENCE | 050262309
J.H. LYNCH & SONS, INC. | RI | CUMBERLAND | 050279873
FACTORY MUTUAL INSURANCE COMPANY | RI | JOHNSTON | 050316605
ADLER POLLOCK & SHEEHAN P.C. | RI | PROVIDENCE | 050343749
DIMEO CONSTRUCTION COMPANY | RI | PROVIDENCE | 050394406
THE BEACON MUTUAL INSURANCE COMPANY | RI | WARWICK | 050458697
CREDIT SUISSE SECURITIES USA LLC | NY | NEW YORK | 050546650
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 050593973
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 050606326
HARBOURVEST INT'L PRIVATE EQUITY PARTNERS V-PSHIP FUND L.P. | MA | BOSTON | 050623924
FKI INDUSTRIES, INC. | OK | TULSA | 060241470
CUMMINGS & LOCKWOOD LLC | CT | STAMFORD | 060312590
DAY PITNEY LLP | NJ | PARSIPPANY | 060317480
ROBINSON & COLE LLP | CT | HARTFORD | 060512640
STANLEY BLACK & DECKER, INC. | CT | NEW BRITAIN | 060548860
RTX CORPORATION | CT | FARMINGTON | 060570975
THE UNITED ILLUMINATING COMPANY | CT | ORANGE | 060571640
SHIPMAN & GOODWIN LLP | CT | HARTFORD | 060640174
PULLMAN & COMLEY, LLC | CT | BRIDGEPORT | 060662400
MURTHA CULLINA LLP | CT | HARTFORD | 060686015
CARMODY TORRANCE SANDAK & HENNESSEY LLP | CT | WATERBURY | 060691344
EVERSOURCE ENERGY SERVICE COMPANY | CT | HARTFORD | 060810627
THE SEGAL GROUP INC. | NY | NEW YORK | 060839113
UPDIKE, KELLY & SPELLACY, P.C. | CT | HARTFORD | 060859435
ASHFORTH PROPERTIES INC. | CT | STAMFORD | 060890423
NAUGATUCK VALLEY RADIOLOGICAL ASSOCIATES, P.C. | CT | SOUTHBURY | 060931385
WOODLAND ANESTHESIOLOGY ASSOCIATES, PC | CT | HARTFORD | 060934463
CNOOC PETROLEUM U.S.A. INC | TX | HOUSTON | 060944810
TALCOTT RESOLUTION LIFE INSURANCE COMPANY | CT | WINDSOR | 060974148
RTX CORPORATION | CT | FARMINGTON | 061009612
ARISTOTLE INTERNATIONAL, INC. | DC | WASHINGTON | 061022613
GENERAL RE CORPORATION | CT | STAMFORD | 061026471
PRUDENTIAL RETIREMENT INSURANCE AND ANNUITY COMPANY | CO | GREENWOOD VILLAGE | 061050034
CONNING & COMPANY | CT | HARTFORD | 061174588
MBIA INC. | NY | PURCHASE | 061185706
SILGAN CONTAINERS CORPORATION MASTER TRUST | CA | WOODLAND HILLS | 061207664
INTEGRATED ANESTHESIA ASSOCIATES, LLC | CT | EAST HARTFORD | 061223155
OLIN CORPORATION | MO | CLAYTON | 061230425
IROQUOIS PIPELINE OPERATING COMPANY | CT | SHELTON | 061266157
APG ASSET MANAGEMENT US, INC. | NY | NEW YORK | 061285941
PURDUE PHARMA L.P. | CT | STAMFORD | 061307484
LEXMARK INTERNATIONAL, INC. | KY | LEXINGTON | 061308215
