ADVISORS ASSET MANAGEMENT  200532180 -- BusinessCode: 523900 -- CO : MONUMENT
  [401(k)] ADVISORS ASSET MANAGEMENT, INC. 401K PLAN [200532180-001]
    2022  [codes: 2F2G2J2K2S2T2E3D2R]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/7/25/20230725081827NAL0009596081001.pdf
        Participants: 306  Average: $134,405
        Assets: $41,128,061
        Contributions - employee: $  11,450 per participant
                      - employer: $   2,012 per participant
        Loans                   : $   1,770 per participant
        Service Providers:
           - FIDELITY INVESTMENTS INSTITUTIONAL : $-18,794  RECORDKEEPER (Participant loan processing | Sub - transfer agency fees | Recordkeeping fees | Account maintenance fees | Securities brokerage commissions and fees)
        Service Fees:
           - FIDELITY INVESTMENTS INSTITUTIONAL : ABF LG CAP VAL INV - DST ASSET MAN   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : TRP SM CAP STOCK ADV - T. ROWE PRI   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : VRTS S MID-CP GR ADM - VIRTUS FUND   $0 | 0.35%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : SHENKMAN CAPITAL SRT DURATION HIGH   $0 | 0.08%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : INVESCO GLOBAL OPPORTUNITIES A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AMERICAN BALANCED CLASS F1   $0 | 0.37%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AVANTIS INTL SMALL CAP VALUE FUND   $0 | 0.05%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : BLACKROCK MID CAP VALUE FUND CL A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : COHEN & STEERS REAL ASSETS FD CL A   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : COHEN & STEERS MLP AND ENERGY OPPO   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA US TARGETED VALUE PRTF INSTL   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA US SMALL CAP PORTFOLIO INSTL C   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DFA US HIGH RELATIVE PROFIT PORT I   $0 | 0.02%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AMERICAN GROWTH FUNDOF AMERICA CLA   $0 | 0.37%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : GUGGENHEIM TOTAL RETURN BOND FD IN   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AAM/BAHL & GAYNOR INCOME GROWTH CL   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AAM/BAHL & GAYNOR INCOME GROWTH CL   $0 | 0.08%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AAM/HIMCO SHORT DURATION CL I   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AAM/INSIGHT SELECT INCOME FD CL A   $0 | 0.08%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MORGAN STANLEY GLOBAL OPPORTUNITY   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MORGAN STANLEY ADVANTAGE CL I   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : 13D ACTIVIST FUND CL A   $0 | 0.08%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PARNASSUS CORE EQUITY INVESTOR   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : T ROWE PRICE DIVIDEND GROWTH   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : T ROWE PRICE BLUE CHIP GROWTH INC   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : KAYNE ANDERSON RENEWABLE INFRA RET   $0 | 0.40%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : TEMPLETON GLOBAL BOND CLASS A   $0 | $16.00)
           - FIDELITY INVESTMENTS INSTITUTIONAL : TRANSAMERICA CAPITAL GROWTH CL A   $0 | 0.40%)
