NEULION, INC.  980469479 -- BusinessCode: 511210 -- NY : PLAINVIEW
  [401(k)] NEULION 401(K) PLAN [980469479-001]
    2019  [codes: 2T2E2F2G2J2K2S3B3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/14/20201014172117NAL0006963457001.pdf
        Participants: 301  Average: $68,751
        Assets: $20,694,096
        Contributions - employee: $   3,369 per participant
                      - employer: $   1,609 per participant
        Loans                   : $     420 per participant
        Service Providers:
           - WELLS FARGO CLEARING SERVICES LLC : $0  ADVISOR (Other commissions)
           - FIDELITY INVESTMENTS INSTITUTIONAL : $-11,239  RECORDKEEPER (Participant loan processing | Sub - transfer agency fees | Recordkeeping fees | Account maintenance fees)
        Service Fees:
           - FIDELITY INVESTMENTS INSTITUTIONAL : GS INFL-PRO SECS A - GOLDMAN SACHS   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM SMART RET 2025 A - DST ASSET M   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM SMART RET 2030 A - DST ASSET M   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM SMART RET 2035 A - DST ASSET M   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM SMART RET 2040 A - DST ASSET M   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM SMART RET 2045 A - DST ASSET M   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM SMART RET 2050 A - DST ASSET M   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM SMART RET 2055 A - DST ASSET M   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MFS GROWTH ALLOC R3 - MFS SERVICE   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MFS NEW DISC VAL R3 - MFS SERVICE   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MFS TECHNOLOGY R3 - MFS SERVICE CE   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MM SEL MID CAP GR R4 - STATE STREE   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PGIM HIGH YIELD A - PRUDENTIAL MUT   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PGIM J UTILITY A - PRUDENTIAL MUTU   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PGIM ST CORP BOND A - PRUDENTIAL M   $0 | 0.25%)
           - WELLS FARGO CLEARING SERVICES LLC : NATIONAL FINANCIAL SERVICES LLC   $27242 | )
           - FIDELITY INVESTMENTS INSTITUTIONAL : AB RELATIVE VALUE A - ALLIANCEBERN   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AF EUROPAC GRTH R4 - AMERICAN FUND   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : ALZGI NFJ MDCPVL A - DST ASSET MAN   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : AMER NEW PERSPECT R4 - AMERICAN FU   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : C&S REAL ESTATE A - BOSTON FINANCI   $0 | 0.20%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : CBA LG CAP GR A - BNY MELLON INVES   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : COL EMERGING MKTS A - COLUMBIA MGT   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : COL MID CAP IDX A - COLUMBIA MGT I   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : COL SM CAP IDX A - COLUMBIA MGT IN   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DAVIS FINANCIAL A - DST ASSET MANA   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : DL TOTAL RTN BOND N - U.S. BANCORP   $0 | 0.15%)
